representative,taxID,id_method,taxon,rank,score,kingdom,phylum,class,order,family,genus,species,path,scores,reason,NNtaxID,NNtaxon,NNrank,NNdistance
Zotu55,116571,insect,Podoplea,superorder,1,Metazoa,Arthropoda,Hexanauplia,,,,,1.11222E+14,Ddddddddddddddd,2,714331,Apteryoperla ramsayi,species,0.1441
Zotu56,46719,insect,Porites,genus,NA,Metazoa,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,,NA,NA,-1,46719,Porites,genus,0
Zotu57,2759,insect,Eukaryota,superkingdom,0.5901,,,,,,,,1.11222E+19,ddddddddddddddddddd;,2,1610063,Fleutiauxellus yezoensis,species,0.1588
Zotu58,1,insect,root,no rank,NA,,,,,,,,NA,NA,8,862824,Centroscyllium ritteri,species,0.1083
Zotu59,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+14,ddddddddddddddd,2,319519,Leptofauchea pacifica,species,0.127
Zotu60,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,508943,Morula spinosa,species,0.1352
Zotu61,2759,insect,Eukaryota,superkingdom,0.9935,,,,,,,,1.11222E+15,ddddddddddddaddc,2,393766,Helopeltis theivora,species,0.1352
Zotu62,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+14,ddddddddddddddd,2,305493,Eucheuma denticulatum,species,0.1278
Zotu63,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,508943,Morula spinosa,species,0.1319
Zotu64,2759,insect,Eukaryota,superkingdom,1,,,,,,,,111111221,ddddddddd,2,37629,Gyrodactylus salaris,species,0.2203
Zotu65,6656,insect,Arthropoda,phylum,1,Metazoa,Arthropoda,,,,,,2.22221E+17,ddd]dddddNdAddAddd,2,1902851,Deima validum,species,0.1449
Zotu66,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+14,ddddddddddddddd,2,1042120,Acrochaetium moniliforme,species,0.136
Zotu67,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+14,ddddddddddddddd,2,16195,Polygonatum,genus,0.1262
Zotu68,131567,insect,cellular organisms,no rank,1,,,,,,,,1.11111E+17,dddddddddddddddddd,2,6819,Euphausia superba,species,0.1651
Zotu69,6656,insect,Arthropoda,phylum,1,Metazoa,Arthropoda,,,,,,2.22221E+17,ddd]dddddNdAddAddd,2,61880,Spalacopus cyanus,species,0.1441
Zotu70,2759,insect,Eukaryota,superkingdom,0.9995,,,,,,,,1.11222E+15,ddddddddddcddddd,2,4783,Phytophthora,genus,0.1254
Zotu71,2759,insect,Eukaryota,superkingdom,0.5901,,,,,,,,1.11222E+19,ddddddddddddddddddd;,2,1610063,Fleutiauxellus yezoensis,species,0.1531
Zotu72,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+15,dddddddddddddddd,2,1577094,Fungicola syzygia,species,0.1474
Zotu73,2759,insect,Eukaryota,superkingdom,0.9861,,,,,,,,1.11222E+15,dddddddcdd?dbddc,2,160735,Plectropomus maculatus,species,0.1433
Zotu74,2759,insect,Eukaryota,superkingdom,0.9984,,,,,,,,1.11222E+15,ddddddddddaddddd,2,4783,Phytophthora,genus,0.1246
Zotu75,2759,insect,Eukaryota,superkingdom,0.9994,,,,,,,,1.11222E+15,ddddddddddddUddd,2,411425,Anelosimus baeza,species,0.1278
Zotu76,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+15,ddddddddddddbddd,2,127563,Chrysochromulina parva,species,0.1458
Zotu77,131567,insect,cellular organisms,no rank,1,,,,,,,,1.11111E+17,dddddddddddddddddd,2,692422,Baetis phoebus,species,0.164
Zotu78,6833,insect,Calanoida,order,1,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,,2.22222E+19,dddddddddddbdVdddcP`,2,1928770,Episymploce spinosa,species,0.1026
Zotu79,2759,insect,Eukaryota,superkingdom,0.874,,,,,,,,1.11222E+15,bdddddddddddcddW,2,346788,Lathrobium elongatum,species,0.1132
Zotu80,41953,insect,Pseudo-nitzschia,genus,1,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,,1.11222E+17,ddddddddddddddddd],2,1664502,Pseudo-nitzschia sabit,species,0.0765
Zotu81,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11111E+23,ddd9ddddd@ddddddddddQd3d,2,36975,Periplaneta australasiae,species,0.1344
Zotu82,2759,insect,Eukaryota,superkingdom,0.9995,,,,,,,,1.11222E+15,ddddddddddcddddd,2,520052,Musca ventrosa,species,0.1303
Zotu83,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,648609,Conotalopia ornata,species,0.1441
Zotu84,2302914,insect,Chloropicon,genus,1,Viridiplantae,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,,1.11222E+19,ddddddddddcddcdddddd,0,1764295,Chloropicon primus,species,0.101
Zotu85,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+14,ddddddddddddddd,2,145882,Semisulcospira libertina,species,0.114
Zotu86,131567,insect,cellular organisms,no rank,1,,,,,,,,1.11111E+17,dddddddddddddddddd,2,400838,Pelagia noctiluca,species,0.1386
Zotu87,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,658861,Cerithidea pliculosa,species,0.136
Zotu88,121148,insect,Acartia,genus,NA,Metazoa,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,,NA,NA,-1,545072,Acartia negligens,species,4.00E-04
Zotu89,33634,insect,Stramenopiles,no rank,1,,,,,,,,1.11222E+15,ddddddddddddd]dd,2,90013,Punctaria latifolia,species,0.1238
Zotu90,2759,insect,Eukaryota,superkingdom,0.9997,,,,,,,,1.11222E+15,ddddddddddddXddd,2,28835,Cepaea nemoralis,species,0.1189
Zotu91,2302914,insect,Chloropicon,genus,1,Viridiplantae,Chlorophyta,Chloropicophyceae,Chloropicales,Chloropicaceae,Chloropicon,,1.11222E+19,dddddddddddddcdddddd,0,1764295,Chloropicon primus,species,0.1213
Zotu92,545085,insect,Copilia,genus,1,Metazoa,Arthropoda,Hexanauplia,Poecilostomatoida,Sapphirinidae,Copilia,,1.11222E+16,Ydddddddddddddddd,0,545086,Copilia mirabilis,species,0.1099
Zotu93,131567,insect,cellular organisms,no rank,1,,,,,,,,1.11111E+17,dddddddddddddddddd,2,6819,Euphausia superba,species,0.1653
Zotu94,33208,insect,Metazoa,kingdom,0.9999,Metazoa,,,,,,,1.11211E+12,ddddddddddddd,2,999270,Ovatella vulcani,species,0.2076
Zotu95,131567,insect,cellular organisms,no rank,1,,,,,,,,1.11111E+17,dddddddddddddddddd,2,692422,Baetis phoebus,species,0.1641
Zotu96,6833,insect,Calanoida,order,1,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,,2.22222E+18,ddddddddddd_d=ddddd,2,1332847,Paracalanus gracilis,species,0.0863
Zotu97,33634,insect,Stramenopiles,no rank,1,,,,,,,,1.11222E+15,dddddddddddddb\d,2,43935,Ectocarpus fasciculatus,species,0.105
Zotu98,2759,insect,Eukaryota,superkingdom,0.7603,,,,,,,,1.11222E+19,dddddddddddddddddddL,2,248216,Baetisca lacustris,species,0.1567
Zotu99,2759,insect,Eukaryota,superkingdom,0.9451,,,,,,,,1.11222E+15,ddddddddddddddd_,2,222802,Cephus pygmeus,species,0.1156
Zotu100,2759,insect,Eukaryota,superkingdom,0.7603,,,,,,,,1.11222E+19,dddddddddddddddddddL,2,248216,Baetisca lacustris,species,0.1592
Zotu101,2759,insect,Eukaryota,superkingdom,0.9968,,,,,,,,1.11222E+15,dddddddddddddddd,2,1077460,Terebra succincta,species,0.1173
Zotu102,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,52928,Nerita albicilla,species,0.1205
Zotu103,2759,insect,Eukaryota,superkingdom,0.874,,,,,,,,1.11222E+15,bdddddddddddcddW,2,1886476,Neopanorpa angustipennis,species,0.1213
Zotu104,2759,insect,Eukaryota,superkingdom,0.9861,,,,,,,,1.11222E+15,dddddddcdd?dbddc,2,160735,Plectropomus maculatus,species,0.1547
Zotu105,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+14,ddddddddddddddd,2,45985,Arianta arbustorum,species,0.1087
Zotu106,33634,insect,Stramenopiles,no rank,1,,,,,,,,1.11222E+15,ddddddddddddd]dd,2,1306848,Megabalanus azoricus,species,0.127
Zotu107,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+13,dddddddbdddddd,2,7739,Branchiostoma floridae,species,0.1678
Zotu108,33634,insect,Stramenopiles,no rank,1,,,,,,,,1.11222E+14,ddddddddddbddPd,2,446417,Anacaena lutescens,species,0.1246
Zotu109,33634,insect,Stramenopiles,no rank,1,,,,,,,,1.11222E+15,ddddddddddddd?bd,2,516948,Vaccinium oxycoccos,species,0.123
Zotu110,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+15,dddddddbdddddddd,2,247612,Lepidocyrtus cyaneus,species,0.1824
Zotu111,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11111E+22,dddadddddTdddddddaddRdd,2,1736779,Californiconus californicus,species,0.1653
Zotu112,41953,insect,Pseudo-nitzschia,genus,1,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,,1.11222E+17,ddddddddddddddddd],2,1664502,Pseudo-nitzschia sabit,species,0.0717
Zotu113,2759,insect,Eukaryota,superkingdom,0.9989,,,,,,,,1.11222E+15,dddddddddddddddd,2,1906927,Chlorostoma argyrostomum,species,0.1221
Zotu114,2830,insect,Haptophyceae,class,1,,,Haptophyceae,,,,,1.11222E+16,ddddddddddddddddd,2,1064566,Pyropia njordii,species,0.1384
Zotu115,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+15,dddddddddddTcddd,2,417197,Parviphycus adnatus,species,0.1246
Zotu116,2759,insect,Eukaryota,superkingdom,0.9968,,,,,,,,1.11222E+15,dddddddddddddddd,2,62298,Desmarestia aculeata,species,0.1254
Zotu117,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11111E+21,dddCddddd[ddddddddddad,2,328250,Fluminicola multifarius,species,0.1335
Zotu118,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+14,ddddddddddddddd,2,168724,Chrysaora melanaster,species,0.1287
Zotu119,2830,insect,Haptophyceae,class,1,,,Haptophyceae,,,,,1.11222E+16,ddddddddddddddddd,2,511349,Yarepotamon gracilipa,species,0.114
Zotu120,131567,insect,cellular organisms,no rank,1,,,,,,,,1.11111E+18,ddddddddd^ddbdddddd,2,1736779,Californiconus californicus,species,0.152
Zotu121,6656,insect,Arthropoda,phylum,1,Metazoa,Arthropoda,,,,,,2.22221E+17,ddd]dddddNdAddAddd,2,1963010,Simulium chimguazaense,species,0.1335
Zotu122,2759,insect,Eukaryota,superkingdom,0.7769,,,,,,,,1.11222E+12,ddddddddddddN,2,371971,Ralfsia verrucosa,species,0.1181
Zotu123,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+14,ddddddddddddddd,2,1838191,Latirus pictus,species,0.127
Zotu124,41953,insect,Pseudo-nitzschia,genus,1,,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,,1.11222E+17,ddddddddddddddddd],2,1664502,Pseudo-nitzschia sabit,species,0.0765
Zotu125,2830,insect,Haptophyceae,class,1,,,Haptophyceae,,,,,1.11222E+16,ddddddddddddcdddd,2,596297,Pythium oopapillum,species,0.1091
Zotu126,6656,insect,Arthropoda,phylum,1,Metazoa,Arthropoda,,,,,,2.22221E+17,ddd]dddddNdAddAddd,2,10017,Dipodomys californicus,species,0.1441
Zotu127,2759,insect,Eukaryota,superkingdom,0.9851,,,,,,,,1.11222E+12,ddddddddddddc,2,309738,Cladosiphon umezakii,species,0.1022
Zotu128,1,insect,root,no rank,1,,,,,,,,,,2,91705,Bathymodiolus puteoserpentis,species,0.174
Zotu129,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+16,dddddddbddd4ddPdd,2,292399,Themira biloba,species,0.1181
Zotu130,2759,insect,Eukaryota,superkingdom,0.7171,,,,,,,,1.11222E+15,ddddcddddddd@ddH,2,1688798,Cletus pugnator,species,0.1197
Zotu131,1,insect,root,no rank,1,,,,,,,,,,2,2025590,Eunicella albicans,species,0.1784
Zotu132,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11111E+21,ddd\ddddddddddddddddbd,2,2078665,Ptilophora aureolusa,species,0.1502
Zotu133,3041,insect,Chlorophyta,phylum,1,Viridiplantae,Chlorophyta,,,,,,1.11222E+18,dddddddddddddcddddd,2,1764295,Chloropicon primus,species,0.0993
Zotu134,2759,insect,Eukaryota,superkingdom,0.617,,,,,,,,1.11222E+13,YdddddddddSdd>,2,1522354,Stiliger fuscovittatus,species,0.1303
Zotu135,2759,insect,Eukaryota,superkingdom,0.9968,,,,,,,,1.11222E+15,dddddddddddddddd,2,1906927,Chlorostoma argyrostomum,species,0.1213
Zotu136,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+18,dddddddddddd5ddZddd,2,74381,Undaria pinnatifida,species,0.1128
Zotu137,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,52928,Nerita albicilla,species,0.1352
Zotu138,2759,insect,Eukaryota,superkingdom,0.9999,,,,,,,,1.11222E+15,dddddddEdddd^ddd,2,1588904,Pythium junctum,species,0.1482
Zotu139,33634,insect,Stramenopiles,no rank,1,,,,,,,,1.11222E+15,ddddddddddddd]dd,2,516948,Vaccinium oxycoccos,species,0.1295
Zotu140,33634,insect,Stramenopiles,no rank,0.9999,,,,,,,,1.11222E+14,ddddddddddcddcd,2,1860180,Bombylius pygmaeus,species,0.1303
Zotu141,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,153627,Loimia ingens,species,0.136
Zotu142,6656,insect,Arthropoda,phylum,1,Metazoa,Arthropoda,,,,,,2.22221E+17,ddd]dddddNdAddAddd,2,144805,Anillochlamys bueni,species,0.1466
Zotu143,2759,insect,Eukaryota,superkingdom,0.5901,,,,,,,,1.11222E+19,ddddddddddddddddddd;,2,248216,Baetisca lacustris,species,0.1567
Zotu144,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+17,dddbdddddddJdddddd,2,1240942,Fallicambarus fodiens,species,0.1205
Zotu145,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+19,dddddddddddddddddddd,2,508921,Drupella margariticola,species,0.127
Zotu146,2759,insect,Eukaryota,superkingdom,0.9931,,,,,,,,1.11222E+18,dddddddbdddNddddd`c,2,7602,Asterias amurensis,species,0.123
Zotu147,116571,insect,Podoplea,superorder,0.9999,Metazoa,Arthropoda,Hexanauplia,,,,,1.11222E+15,dddbdddddddddddd,2,206145,Mene maculata,species,0.1425
Zotu148,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,252563,Discodoris confusa,species,0.1262
Zotu149,1,insect,root,no rank,1,,,,,,,,,,2,1041511,Pseudo-nitzschia fryxelliana,species,0.1955
Zotu150,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+14,ddddddddddddddd,2,252671,Clytia hemisphaerica,species,0.123
Zotu151,2759,insect,Eukaryota,superkingdom,0.9451,,,,,,,,1.11222E+15,ddddddddddddddd_,2,196966,Afrolittorina acutispira,species,0.1205
Zotu152,2830,insect,Haptophyceae,class,1,,,Haptophyceae,,,,,1.11222E+16,ddddddddddddRdddd,2,1842846,Nassarius mendicus,species,0.1246
Zotu153,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+13,dddIdddIddd9dd,2,69143,Batrachospermum gelatinosum,species,0.136
Zotu154,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,508943,Morula spinosa,species,0.1409
Zotu155,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+19,ddddddd_dddddddddddd,2,406007,Turbo sarmaticus,species,0.1254
Zotu156,1,insect,root,no rank,1,,,,,,,,,,2,1006812,Thenea abyssorum,species,0.1939
Zotu157,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11111E+20,dddddddddcdd=dddddddd,2,1732139,Axius stirynchus,species,0.2248
Zotu158,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,1223860,Nesophrosyne marginalis,species,0.1327
Zotu159,2759,insect,Eukaryota,superkingdom,0.9998,,,,,,,,1.11222E+15,ddddOddddddd[ddd,2,1344534,Niphargus bihorensis,species,0.1392
Zotu160,131567,insect,cellular organisms,no rank,1,,,,,,,,1.11111E+17,dddddddddddddddddd,2,6819,Euphausia superba,species,0.1641
Zotu161,2759,insect,Eukaryota,superkingdom,0.9071,,,,,,,,11122221122,dddd^ddddd[,2,551855,Leptophlebia vespertina,species,0.1185
Zotu162,2759,insect,Eukaryota,superkingdom,0.5901,,,,,,,,1.11222E+19,ddddddddddddddddddd;,2,1586597,Ischnodes sanguinicollis,species,0.1669
Zotu163,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+14,ddddddddddddddd,2,316173,Athorybia rosacea,species,0.1352
Zotu164,2759,insect,Eukaryota,superkingdom,0.6619,,,,,,,,1.11222E+13,bdddddddddcddB,2,413199,Pterotrachea coronata,species,0.1368
Zotu165,131567,insect,cellular organisms,no rank,1,,,,,,,,1.11111E+17,dddddddddddddddddd,2,31502,Rhodymenia pseudopalmata,species,0.1588
Zotu166,1,insect,root,no rank,1,,,,,,,,,,4,128124,Craspedacusta sowerbii,species,0.29
Zotu167,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11222E+18,dddddddKdddcddddddd,2,29241,Rhodoglossum gigartinoides,species,0.1368
Zotu168,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,1070701,Dardanus arrosor,species,0.136
Zotu169,2759,insect,Eukaryota,superkingdom,0.5861,,,,,,,,1.11222E+20,dddddddbdddddddddddd;,2,391887,Banza molokaiensis,species,0.136
Zotu170,2759,insect,Eukaryota,superkingdom,1,,,,,,,,1.11111E+21,dddCddddd[ddddddddddad,2,28860,Pterocladiella melanoidea,species,0.1449
Zotu171,33634,insect,Stramenopiles,no rank,0.9787,,,,,,,,1.11222E+14,dddddddddd`dd4b,2,1223578,Gomphonema clevei,species,0.1295
